"UT","PT","TI","AF","CR","AU","SO","LA","DT","AB","RP","NR","TC","Z9","U1","U2","PU","PI","PA","SN","J9","JI","PD","PY","VL","IS","BP","EP","DI","PG","WC","SC","GA","DE","ID","C1","EM","AR","FU","FX","PM","EI","SI","BE","SE","CT","CY","CL","SP","HO","BN","PN","RI","OI","SU","GP","MA","BA","BF","numAuthors"
"WOS:A1997WT35100003","J","Belief and consciousness","Worley, S","NAGEL T, 1974, PHILOS REV, V83, P435, DOI 10.2307/2183914|DENNETT DC, 1991, J PHILOS, V88, P27, DOI 10.2307/2027085|BLOCK N, 1980, READINGS PHILOS PSYC, V11|BLOCK N, 1991, BEHAV BRAIN SCI, V14, P670|Dennett Daniel, 1981, BRAINSTORMS|Dennett Daniel C., 1987, INTENTIONAL STANCE|Dennett Daniel C., 1991, CONSCIOUSNESS EXPLAI|Dretske F., 1991, EXPLAINING BEHAV REA|Fodor J. A., 1991, FUTURE FOLK PSYCHOL, P22|FODOR JA, 1984, SYNTHESE, V59, P1|Fodor Jerry, 1987, PSYCHOSEMANTICS|Johnson-Laird P.N., 1983, MENTAL MODELS|Johnson-Laird P.N., 1988, COMPUTER MIND INTRO|Marcel A.J., 1992, CONSCIOUSNESS CONT S|Marr D., 1982, VISION|McGinn C., 1991, PROBLEM CONSCIOUSNES|Millikan Ruth G., 1984, LANGUAGE THOUGHT OTH|NELKIN N, 1993, CONSCIOUSNESS|Pylyshyn Z, 1986, COMPUTATION COGNITIO|Searle J, 1992, REDISCOVERING MIND|Searle J., 1989, PHILOS TOPICS, V17, P193|SHALLICE T, 1986, CONSCIOUSNESS SELFRE, V4|Shallice Tim, 1988, NEUROPSYCHOLOGY MENT|WEISKRANTZ L, 1992, CONSCIOUSNESS CONT S|Weiskrantz L, 1986, BLINDSIGHT","Worley, S","PHILOSOPHICAL PSYCHOLOGY","English","Article","In this paper, I argue that we should not ascribe beliefs and desires to subjects like zombies or (present day) computers which do not have phenomenal consciousness. In order to ascribe beliefs, we must distinguish between personal and subpersonal content. There may be states in my brain which represent the away of light intensities on my retina, but these states are not beliefs, because they are merely subpersonal. I argue that we cannot distinguish between personal and subpersonal content without reference to phenomenal consciousness. I argue for this by examining two attempts to account for belief without reference to phenomenal consciousness, functionalism and Dennett's patterns of behavior theory, and showing that they both fail. In the course of the arguments that these attempts fail, I develop some positive reasons for believing that phenomenal consciousness is indeed necessary.","Worley, S (reprint author), BOWLING GREEN STATE UNIV,DEPT PHILOSOPHY,BOWLING GREEN,OH 43403, USA.","25","0","0","0","1","CARFAX PUBL CO","ABINGDON","PO BOX 25, ABINGDON, OXFORDSHIRE, ENGLAND OX14 3UE","0951-5089","PHILOS PSYCHOL","Philos. Psychol.","MAR","1997","10","1","41","55","10.1080/09515089708573203","15","Ethics; Psychology, Multidisciplinary","Social Sciences - Other Topics; Psychology","WT351","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
"WOS:A1976GM41900014","J","'WALK WITH A ZOMBIE'","CASSITY, T","","CASSITY, T","POETRY","English","Poetry","","","0","0","0","0","0","POETRY","CHICAGO","60 W WALTON ST, CHICAGO, IL 60610","0032-2032","POETRY","Poetry","","1976","127","6","348","348","","1","Poetry","Literature","GM419","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
"WOS:000358399000009","J","Waterboarding Greece What lies ahead: existence as a zombie debt colony.","Margarons, Maria","","Margarons, M","NATION","English","Editorial Material","","","0","0","0","2","2","NATION CO INC","NEW YORK","33 IRVING PLACE, 8TH FLOOR, NEW YORK, NY 10003 USA","0027-8378","NATION","Nation","AUG 3","2015","300","31","4","5","","2","Political Science","Government & Law","CN4KM","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
"WOS:000289803600001","J","Should I pitch my tent in the middle ground? On 'middling tendency',|Beck and inequality in youth sociology","Threadgold, Steven","Adams M., 2007, SELF SOCIAL CHANGE|Adkins L, 2003, THEOR CULT SOC, V20, P21, DOI 10.1177/0263276403206002|Nayak A, 2006, SOCIOLOGY, V40, P813, DOI 10.1177/0038038506067508|Beck U, 2007, THEOR CULT SOC, V24, P286, DOI 10.1177/02632764070240072505|Beck U, 2002, THEOR CULT SOC, V19, P17, DOI 10.1177/026327602128931206|Woodman D, 2010, J YOUTH STUD, V13, P737, DOI 10.1080/13676261.2010.506533|Crompton R, 2010, WORK EMPLOY SOC, V24, P9, DOI 10.1177/0950017009353667|Reay D, 2005, SOCIOLOGY, V39, P911, DOI 10.1177/0038038505058372|Verter B, 2003, SOCIOL THEOR, V21, P150, DOI 10.1111/1467-9558.00182|Reay D, 2000, SOCIOL REV, V48, P568, DOI 10.1111/1467-954X.00233|Threadgold S, 2009, CURR SOCIOL, V57, P47, DOI 10.1177/0011392108097452|[Anonymous], 2004, SOCIOL REV, DOI 10.1111/j.1467-954X.2005.00524.x|Roberts S, 2010, J YOUTH STUD, V13, P137, DOI 10.1080/13676260903233720|Woodman D, 2009, J YOUTH STUD, V12, P243, DOI 10.1080/13676260902807227|Edensor T, 2009, SOCIOLOGY, V43, P103, DOI 10.1177/0038038508099100|Atkinson W, 2007, BRIT J SOCIOL, V58, P707, DOI 10.1111/j.1468-4446.2007.00172.x|Attewell P, 2001, SOCIOL EDUC, V74, P252, DOI 10.2307/2673277|Rose N, 2001, THEOR CULT SOC, V18, P1, DOI 10.1177/02632760122052020|Beck U, 2007, BRIT J SOCIOL, V58, P679, DOI 10.1111/j.1468-4446.2007.00171.x|Savage M, 2001, SOCIOLOGY, V35, P875, DOI 10.1177/0038038501035004005|Lee L, 2008, SOCIOLOGY, V42, P137, DOI 10.1177/0038038507084829|Bottero W, 2004, SOCIOLOGY, V38, P985, DOI 10.1177/0038038504047182|Reay D, 2004, BRIT J SOCIOL EDUC, V25, P431, DOI 10.1080/0142569042000236934|Adams M, 2006, SOCIOLOGY, V40, P511, DOI 10.1177/003803850663672|Skeggs B, 2005, SOCIOLOGY, V39, P965, DOI 10.1177/0038038505058381|Huppatz K, 2009, SOCIOLOGY, V43, P45, DOI 10.1177/0038038508099097|Atkinson W, 2008, SOCIOL REV, V56, P1, DOI 10.1111/j.1467-954X.2008.00774.x|Atkinson W, 2007, BRIT J SOCIOL, V58, P349, DOI 10.1111/j.1468-4446.2007.00155.x|Ball SJ, 2002, BRIT J SOCIOL EDUC, V23, P51, DOI 10.1080/01425690120102854|Bauman Z., 2004, WASTED LIVES MODERNI|Bauman Z., 1998, WORK CONSUMERISM NEW|Bauman Z, 1998, GLOBALIZATION HUMAN|Bauman Zygmunt, 2007, CONSUMING LIFE|Beck U., 2009, WORLD RISK|Beck U., 1992, RISK SOC NEW MODERNI|Beck U, 2005, POWER GLOBAL AGE NEW|Beck U, 2010, GLOBAL NETW, V10, P165|Beck U., 2004, CONVERSATIONS U BECK|Castells M., 1996, RISE NETWORK SOC INF, V1|Castells M., 1998, END MILLENNIUM INFOR, VIII|Castells M., 1997, POWER IDENTITY INFOR, V2|Dean M, 1999, GOVT POWER RULE MODE|Facer K., 2001, J YOUTH STUD, V4, P451|Ferguson G, 2010, TELEV NEW MEDIA, V11, P87, DOI 10.1177/1527476409357595|Furlong A., 1997, YOUNG PEOPLE SOCIAL|Gibson-Graham J. K., 2006, POSTCAPITALIST POLIT|Gibson-Graham J. K., 1996, END CAPITALISM WE KN|Hollands Robert, 2002, J YOUTH STUD, V5, P153, DOI 10.1080/13676260220134421|Johnson P, 2008, SOCIOLOGY, V42, P65, DOI 10.1177/0038038507084825|Kelly P, 2003, J YOUTH STUD, V6, P165, DOI [10.1080/1367626032000110291, DOI 10.1080/1367626032000110291]|Kelly P, 1999, J YOUTH STUD, V2, P193|Kelly P, 2000, J YOUTH STUD, V3, P301, DOI [10.1080/713684381, DOI 10.1080/713684381]|Kelly P., 2006, J YOUTH STUD, V9, P17, DOI [10.1080/13676260500523606, DOI 10.1080/13676260500523606]|Kelly P., 2009, WORKING JAMIES KITCH|Klein N, 2007, SHOCK DOCTRINE RISE|KOSUT M, 2006, CULTURAL STUDIES CRI, V6, P245, DOI 10.1177/1532708604268222|Leahy T, 2010, ENVIRON POLIT, V19, P851, DOI 10.1080/09644016.2010.518676|Lupton D, 1999, RISK|MacDonald R, 2005, DISCONNECTED YOUTH: GROWING UP IN POOR BRITAIN, P1, DOI 10.1057/9780230511750|McLeod J., 2006, MAKING MODERN LIVES|McRobbie A., 2004, SOCIOL REV, V52, P99|Nguyen A, 2007, J SOCIOL, V43, P167, DOI 10.1177/1440783307076894|Pakulski J., 2004, GLOBALISING INEQUALI|Pakulski J, 1996, DEATH CLASS|Patel R., 2010, VALUE NOTHING RESHAP|Pusey M., 1991, EC RATIONALISM AUSTR|REAY D, 2004, CULTURAL TRENDS, V0013|Roberts Ken, 2007, J YOUTH STUD, V10, P263, DOI DOI 10.1080/13676260701204360|Rose N., 1998, PSYCHIAT PSYCHOL LAW, V5, P177, DOI DOI 10.1080/13218719809524933|Savage M, 2010, CULTURAL ANAL BOURDI, P60|SHILDRICK T., 2006, J YOUTH STUD, V9, P125, DOI DOI 10.1080/13676260600635599|Skeggs B, 2004, CLASS SELF CULTURE|Threadgold S., 2009, THESIS U NEWCASTLE A|Urry J., 2007, MOBILITIES|Weenik Don, 2008, SOCIOLOGY, V46, P1089|Willis S, 2006, J SOCIOL, V42, P43, DOI 10.1177/1440783306061352|Woodman Dan, 2006, J YOUTH STUD, V9, P495, DOI [10.1080/13676260600805713, DOI 10.1080/13676260600805713]|Wyn J., 2007, J YOUTH STUD, V10, P373, DOI [10.1080/13676260701342624, DOI 10.1080/13676260701342624]","Threadgold, S","JOURNAL OF YOUTH STUDIES","English","Article","In 2009 Woodman has recently challenged youth sociologists concerned with inequality to evolve from what he describes as a middling orthodoxy that misrepresents the work of Ulrich Beck in an effort to emphasise the continuing relevance of class. In 2010 Roberts forcefully responds to Woodman, arguing that Beck's own words and empirical evidence contradict his argument. Woodman responds to Roberts, reasserting his position and asks for the debate to move beyond mere 'quote wars'. This paper engages with this debate, taking Woodman's challenge seriously while maintaining that Beck's jettison of class is problematic, and that the concept of class itself is still vital. The paper concludes with suggestions as to what youth sociologists concerned with socio-economic inequality might want to focus upon in the future.","Threadgold, S (reprint author), Univ Newcastle, Sch Humanities & Social Sci, Callaghan Campus, Newcastle, NSW 2308, Australia.","78","20","20","3","7","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","ABINGDON","4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXFORDSHIRE, ENGLAND","1367-6261","J YOUTH STUD","J. Youth Stud.","","2011","14","4","381","393","10.1080/13676261.2010.538042","13","Social Sciences, Interdisciplinary","Social Sciences - Other Topics","753TW","youth; Beck; inequality; class; middling tendency; Bourdieu;|reflexivity; methodological nationalism; zombie category; social class","SOCIAL INEQUALITIES; CLASS IDENTITIES; DIGITAL DIVIDE;|INDIVIDUALIZATION; CHOICE; REFLEXIVITY; EDUCATION; CRITIQUE; GENDER;|WORLD","Univ Newcastle, Sch Humanities & Social Sci, Newcastle, NSW 2308, Australia.","steven.threadgold@newcastle.edu.au","PII 931506118","","","","","","","","","","","","","","","","","","","","","","1"
"WOS:000276454000004","J","A Wasp Manipulates Neuronal Activity in the Sub-Esophageal Ganglion to|Decrease the Drive for Walking in Its Cockroach Prey","Gal, Ram|Libersat, Frederic","Devaud JM, 2007, EUR J NEUROSCI, V26, P3193, DOI 10.1111/j.1460-9568.2007.05904.x|BASSLER U, 1986, J COMP PHYSIOL A, V158, P345, DOI 10.1007/BF00603618|Cirelli C, 2009, NAT REV NEUROSCI, V10, P549, DOI 10.1038/nrn2683|Haspel G, 2003, J NEUROBIOL, V54, P628, DOI 10.1002/neu.10195|MONASTIRIOTI M, 1995, J COMP NEUROL, V356, P275, DOI 10.1002/cne.903560210|Ritzmann RE, 2005, J COMP PHYSIOL A, V191, P253, DOI 10.1007/s00359-004-0537-0|Fouad K, 1996, J COMP PHYSIOL A, V178, P91|Palmiter RD, 2008, ANN NY ACAD SCI, V1129, P35, DOI 10.1196/annals.1417.003|Ridgel AL, 2005, J COMP PHYSIOL A, V191, P559, DOI 10.1007/s00359-005-0621-0|Delcomyn F, 1999, AUTON ROBOT, V7, P259, DOI 10.1023/A:1008928605612|DICKINSON A, 1994, ANIM LEARN BEHAV, V22, P1, DOI 10.3758/BF03199951|Schaefer PL, 2001, J NEUROBIOL, V49, P9, DOI 10.1002/neu.1062|Haspel G, 2003, J NEUROBIOL, V56, P287, DOI 10.1002/neu.10238|Libersat F, 2009, ANNU REV ENTOMOL, V54, P189, DOI 10.1146/annurev.ento.54.110807.090556|Strauss R, 2002, CURR OPIN NEUROBIOL, V12, P633, DOI 10.1016/S0959-4388(02)00385-9|Ridgel AL, 2007, J COMP PHYSIOL A, V193, P385, DOI 10.1007/s00359-006-0193-7|Gal R, 2005, ARCH INSECT BIOCHEM, V60, P198, DOI 10.1002/arch.20092|Pielage J, 2002, DEV BIOL, V249, P283, DOI 10.1006/dbio.2002.0770|Sinakevitch I, 2005, J COMP NEUROL, V488, P233, DOI 10.1002/cne.20572|Crisp KM, 2006, J EXP BIOL, V209, P1746, DOI 10.1242/jeb.02204|STRAUSS R, 1993, J NEUROSCI, V13, P1852|Lipton J, 2004, J NEUROSCI, V24, P7427, DOI 10.1523/JNEUROSCI.1746-04.2004|Briggman KL, 2005, SCIENCE, V307, P896, DOI 10.1126/science.1103736|Muller D, 2003, BRAIN RES, V977, P124, DOI 10.1016/S0006-8993(03)02760-4|MOGENSON GJ, 1980, PROG NEUROBIOL, V14, P69, DOI 10.1016/0301-0082(80)90018-0|BLAGBURN JM, 1987, J COMP PHYSIOL A, V161, P215, DOI 10.1007/BF00615242|Braunig P, 2004, J COMP NEUROL, V478, P164, DOI 10.1002/cne.20287|BRAUNIG P, 1991, PHILOS T ROY SOC B, V332, P221, DOI 10.1098/rstb.1991.0051|Busch S, 2009, J COMP NEUROL, V513, P643, DOI 10.1002/cne.21966|Cholewa J, 2009, ZOOLOGY, V112, P251, DOI 10.1016/j.zool.2008.10.004|Cirelli C, 2008, ANN NY ACAD SCI, V1129, P323, DOI 10.1196/annals.1417.017|Dacks AM, 2005, J COMP NEUROL, V488, P255, DOI 10.1002/cne.20556|Duch C, 1999, J COMP NEUROL, V403, P119, DOI 10.1002/(SICI)1096-9861(19990105)403:1<119::AID-CNE9>3.0.CO;2-F|ECKERT M, 1992, J COMP NEUROL, V322, P1, DOI 10.1002/cne.903220102|FOUAD K, 1994, ZOOL-ANAL COMPLEX SY, V98, P23|Fujiwara M, 2002, NEURON, V36, P1091, DOI 10.1016/S0896-6273(02)01093-0|Gal R, 2006, J COMP PHYSIOL A, V192, P1003, DOI 10.1007/s00359-006-0135-4|Gal R, 2008, CURR BIOL, V18, P877, DOI 10.1016/j.cub.2008.04.076|GRAHAM D, 1979, BIOL CYBERN, V32, P147, DOI 10.1007/BF00337391|Greenspan RJ, 2001, TRENDS NEUROSCI, V24, P142, DOI 10.1016/S0166-2236(00)01719-7|Haspel G, 2005, J COMP PHYSIOL A, V191, P529, DOI 10.1007/s00359-005-0620-1|HUBER F, 1960, Z VERGL PHYSIOL, V44, P60, DOI 10.1007/BF00297863|Huber R, 2005, J COMP PHYSIOL A, V191, P231, DOI 10.1007/s00359-004-0585-5|Keasar T, 2006, ETHOLOGY, V112, P699, DOI 10.1111/j.1439-0310.2006.01214.x|KIEN J, 1992, COMP BIOCHEM PHYS A, V103, P15, DOI 10.1016/0300-9629(92)90236-J|Kien J., 1992, PERGAMON STUDIES NEU, V4, P147|Libersat F, 2003, J COMP PHYSIOL A, V189, P497, DOI 10.1007/s00359-003-0432-0|LIBERSAT F, 1994, J EXP BIOL, V197, P405|Martin JR, 1998, LEARN MEMORY, V5, P179|Martin JR, 1999, J COMP PHYSIOL A, V185, P277, DOI 10.1007/s003590050387|Maye A, 2007, PLOS ONE, V2, DOI 10.1371/journal.pone.0000443|Moore EL, 2006, J NEUROBIOL, V66, P811, DOI 10.1002/neu.20254|PEARSON KG, 1973, J EXP BIOL, V58, P725|Roeder KD, 1937, J EXP ZOOL, V76, P353, DOI 10.1002/jez.1400760302|Rosenberg LA, 2007, J EXP BIOL, V210, P4411, DOI 10.1242/jeb.010488|STRAUSS R, 1992, J NEUROGENET, V8, P125, DOI 10.3109/01677069209083444|van Swinderen B, 2003, BEHAV PROCESS, V64, P133, DOI 10.1016/S0376-6357(03)00131-1|van Swinderen B, 2005, BIOESSAYS, V27, P321, DOI 10.1002/bies.20195|WATSON JT, 1994, ANIM BEHAV, V48, P476, DOI 10.1006/anbe.1994.1263|Wessnitzer J, 2006, BIOINSPIR BIOMIM, V1, P63, DOI 10.1088/1748-3182/1/3/001","Gal, R|Libersat, F","PLOS ONE","English","Article","Background: The parasitoid Jewel Wasp hunts cockroaches to serve as a live food supply for its offspring. The wasp stings the cockroach in the head and delivers a cocktail of neurotoxins directly inside the prey's cerebral ganglia. Although not paralyzed, the stung cockroach becomes a living yet docile 'zombie', incapable of self-initiating spontaneous or evoked walking. We show here that such neuro-chemical manipulation can be attributed to decreased neuronal activity in a small region of the cockroach cerebral nervous system, the sub-esophageal ganglion (SEG). A decrease in descending permissive inputs from this ganglion to thoracic central pattern generators decreases the propensity for walking-related behaviors.|Methodology and Principal Findings: We have used behavioral, neuro-pharmacological and electrophysiological methods to show that: (1) Surgically removing the cockroach SEG prior to wasp stinging prolongs the duration of the sting 5-fold, suggesting that the wasp actively targets the SEG during the stinging sequence; (2) injecting a sodium channel blocker, procaine, into the SEG of non-stung cockroaches reversibly decreases spontaneous and evoked walking, suggesting that the SEG plays an important role in the up-regulation of locomotion; (3) artificial focal injection of crude milked venom into the SEG of non-stung cockroaches decreases spontaneous and evoked walking, as seen with naturally-stung cockroaches; and (4) spontaneous and evoked neuronal spiking activity in the SEG, recorded with an extracellular bipolar microelectrode, is markedly decreased in stung cockroaches versus non-stung controls.|Conclusions and Significance: We have identified the neuronal substrate responsible for the venom-induced manipulation of the cockroach's drive for walking. Our data strongly support previous findings suggesting a critical and permissive role for the SEG in the regulation of locomotion in insects. By injecting a venom cocktail directly into the SEG, the parasitoid Jewel Wasp selectively manipulates the cockroach's motivation to initiate walking without interfering with other non-related behaviors.","Gal, R (reprint author), Ben Gurion Univ Negev, Dept Life Sci, IL-84105 Beer Sheva, Israel.","60","12","12","8","39","PUBLIC LIBRARY SCIENCE","SAN FRANCISCO","185 BERRY ST, STE 1300, SAN FRANCISCO, CA 94107 USA","1932-6203","PLOS ONE","PLoS One","APR 7","2010","5","3","","","10.1371/journal.pone.0010019","10","Multidisciplinary Sciences","Science & Technology - Other Topics","580MX","","OCTOPAMINE-LIKE IMMUNOREACTIVITY; DROSOPHILA-MELANOGASTER;|AMPULEX-COMPRESSA; LOCOMOTOR-ACTIVITY; CENTRAL COMPLEX; FRUIT-FLY;|SUBESOPHAGEAL GANGLION; PERIPLANETA-AMERICANA; TRANSIENT PARALYSIS;|MOTIVATED BEHAVIORS","[Gal, Ram; Libersat, Frederic] Ben Gurion Univ Negev, Dept Life Sci, IL-84105 Beer Sheva, Israel.|[Libersat, Frederic] Univ Aix Marseille 2, Inst Neurobiol Mediterranee, INSERM, U901, Marseille, France.","galra@bgu.ac.il; libersat@bgu.ac.il","e10019","Israeli Science Foundation [848/07]","This work was supported by a grant from the Israeli Science Foundation|(848/07). The funders had no role in study design, data collection and|analysis, decision to publish, or preparation of the manuscript.","20383324","","","","","","","","","","","","","","","","","","","2"
"WOS:000316958100005","J","""The Unreturning Army that Was Youth"": Social Reproduction and|Apocalypse in Pat Barker's Regeneration Trilogy","Trimble, Sarah","Arendt H, 1994, ORIGINS TOTALITARIAN|Bagnold Enid, 1918, REVEILLE, V1, P89|Barbusse Henri, 2003, FIRE|Barker Pat, 1993, EYE DOOR|Barker Pat, 1991, REGENERATION|Barker Pat, 1995, GHOST ROAD|Black J., 2004, MATTERS CONFLICT MAT, P134|Blunden Edmund, 2010, UNDERTONES WAR|Booth Allyson, 1996, POSTCARDS TRENCHES N|Brannigan John, 2005, PAT BARKER|Butler J., 2009, FRAMES WAR IS LIFE G|Chambers Ross, 2004, UNTIMELY INTERVENTIO|Cole Sarah, 2003, MODERNISM MALE FRIEN|Das S, 2005, TOUCH AND INTIMACY IN FIRST WORLD WAR LITERATURE, P1, DOI 10.2277/ 052184603X|Duckworth Alistair, 2004, J MOD LITERATURE, V27, P63, DOI 10.1353/jml.2004.0072|Eliot T. S., 1962, WASTE LAND OTHER POE|Higonnet Margaret, 1987, LINES GENDER 2 WORLD, P31|Hitchcock Peter, 2002, GENDERS, V35|Keller E. F., 2000, CENTURY GENE|Monteith Sharon, 2005, CRITICAL PERSPECTIVE|Monteith Sharon, 2002, PAT BARKER|Rawlinson Mark, 2010, PAT BARKER|Sassoon S., 1918, COUNTER ATTACK OTHER|Simon R., 2005, TOUCH REMEMBRANCE LE|Stevenson Robert Louis, 1981, STRANGE CASE JEKYLL|Wells H. G., 1971, OUTLINE HIST|Westman Karin, 2001, PAT BARKERS REGENERA","Trimble, S","CONTEMPORARY WOMENS WRITING","English","Article","This article considers Pat Barker's complex evocations of futurity and decay in the Regeneration trilogy. By attending to the trilogy's entangled temporalities and tactile imagery, I argue that Barker represents wartime England as haunted by a postwar incarnation of itself so unrecognizable that it is anticipated in apocalyptic terms. Through an extended analysis of the relationship between Billy Prior and Sarah Lumb, I posit that Barker connects the politics of remembrance to the politics of social reproduction. Her foregrounding of ""cyborgian"" (Brannigan) working-class femininities and zombie-esque masculinities-materialized, respectively, in landscapes of iron and mud-not only underscores the failures and limits of supposedly regenerative heterosexual intimacy in the context of war. It also displaces fecundity from the heterosexual couple onto the apocalyptic landscape itself, mapping the anticipation of a mutant and misshapen body politic onto England as a site of ruin, decay, and haunting. By reanimating the trench imagery of the soldier poets and extending it to the home front, Barker's trilogy participates in what Roger Simon calls ""public time,"" in which testament is taken up as a ""difficult inheritance"" and reoriented toward a more just future.","Trimble, S (reprint author), McMaster Univ, Hamilton, ON L8S 4L8, Canada.","27","0","0","0","5","OXFORD UNIV PRESS","OXFORD","GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND","1754-1476","CONTEMP WOMENS WRIT","Contemp. Womens Writ.","MAR","2013","7","1","73","91","10.1093/cww/vpq022","19","Literature","Literature","117MR","","","McMaster Univ, Hamilton, ON L8S 4L8, Canada.","trimblsk@mcmaster.ca","","","","","","","","","","","","","","","","","","","","","","","1"
"WOS:A1978FA63200019","J","'ZOMBIE'","BIRNBAUM, L","*F AN KUT AFR 70, ZOMB","BIRNBAUM, L","DOWN BEAT","English","Record Review","","","1","0","0","0","0","MAHER PUBL INC","ELMHURST","180 W PARK AVE, ELMHURST, IL 60126","0012-5768","DOWN BEAT","Down Beat","","1978","45","12","35","36","","2","Music","Music","FA632","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
"WOS:000344668000001","J","Editorial Introduction Playing (un)dead","Miller, Lee","Caines Rebecca, 2014, IMPROVISATION STUDIE|Csikszentmihalyi M., 1990, FLOW PSYCHOL OPTIMAL|Derrida Jacques, 1972, DISSEMINATION|Diamond Elin, 1996, PERFORMANCE CULTURAL, P1|Dolan Jill, 1993, PRESENCE DESIRE ESSA|Hardy Phil, 1985, AURUM FILM ENCY, V3|Jameson Fredric, 1992, POSTMODERNISM CULTUR|Marion Isaac, 2010, WARM BODIES|Schechner R., 1966, TULANE DRAMA REV, V10, P20, DOI 10.2307/1125208|Schechner Richard, 2013, PERFORMANCE STUDIES|Shoard Marion, 2002, REMAKING LANDSCAPE C","Miller, L","STUDIES IN THEATRE AND PERFORMANCE","English","Editorial Material","Starting from the principle that the zombie apocalypse will probably not come with a rulebook, this introduction to the Zombies & Performance special issue of Studies in Theatre & Performance (co-edited by the author, Roberta Mock and Phil Smith) is offered as a sort of 'spotters guide'. Drawing upon the shifting representations of zombies within popular culture, this overview offers a sense of how the zombie has changed throughout the twentieth and twenty-first centuries to speak to the prevailing anxieties in any given moment. Positioning the zombie as a model of alterity, it considers how the various contributors to this special issue have negotiated the multiplicity inherent therein, as well as what the figure of the zombie might offer academics working in the field of performance studies.","Miller, L (reprint author), Univ Plymouth, Sch Humanities & Performing Arts, Plymouth PL4 8AA, Devon, England.","11","1","1","6","7","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","ABINGDON","4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXFORDSHIRE, ENGLAND","1468-2761","STUD THEATR PERFORM","Stud. Theatr. Perform.","SEP 2","2014","34","3","191","200","10.1080/14682761.2014.977094","10","Theater","Theater","AT1BK","performance studies; zombies; resistance; alterity; taxonomy","","Univ Plymouth, Sch Humanities & Performing Arts, Plymouth PL4 8AA, Devon, England.","lee.miller@plymouth.ac.uk","","","","","2040-0616","SI","","","","","","","","","","","","","","","","","1"
"WOS:A1987H411300021","J","'ZOMBIE NOTES' - OWEN,M","HOOVER, P","OWEN M, ZOMBIE NOTES","HOOVER, P","AMERICAN BOOK REVIEW","English","Book Review","","","1","0","0","0","0","AMER BOOK REVIEW PUBLICATIONS CENTER","BOULDER","CAMPUS BOX 494 UNIV COLORADO, BOULDER, CO 80309","0149-9408","AM BOOK REV","Am. Book Rev.","MAR-APR","1987","9","2","16","16","","1","Literature","Literature","H4113","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
"WOS:000241273600004","J","'I walked with a zombie'","Nochimson, Martha P.","TOURNEUR J, 1943, I WALKED WITH A ZOMB","Nochimson, MP","CINEASTE","English","Film Review","","","1","0","0","0","1","CINEASTE","NEW YORK","200 PARK AVE SOUTH, NEW YORK, NY 10003 USA","0009-7004","CINEASTE","Cineaste","FAL","2006","31","4","9","17","","9","Film, Radio, Television","Film, Radio & Television","094XW","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
